;date;title;comment
0;2022/02/01;CD Projekt skupia się na realizacji dwóch projektów AAA;Równoległa realizacja dwóch projektów AAA to strategiczny cel CD Projekt na ten rok, poinformował ISBtech prezes Adam Kiciński.
1;2022/01/31;CD Projekt pracuje nad nową grą pod roboczym tytułem Golden Nekker;Jak informuje portal IGN, warszawskie studio pracuje nad nową grą karcianą osadzoną w świecie Wiedźmina. W poniedziałek po południu akcje CD Projektu drożeją o ponad 7 proc.
2;2022/01/31;Wzrostowy akcent na koniec fatalnego stycznia, w grze Allegro i CD Projekt;Zazieleniło się na GPW. Jest szansa na to, że ostatnia sesja fatalnego dla inwestorów giełdowych stycznia, zakończy się wzrostami. Oby to był dobry prognostyk na luty.
3;2022/01/28;Giełda w Warszawie tonie w czerwieni, gorąco na Allegro, CD Projekcie i Ten Square Games;Było miło, ale się skończyło. WIG20 ponownie jest najgorszym indeksem w regionie. Nastroje na europejskich parkietach ponownie psuje strach przed podwyżkami stóp procentowych i możliwą agresją Rosji na Ukrainę.
4;2022/01/28;CD Projekt jest o krok od zamknięcia sprawy pozwów w USA;Sprawa pozwów złożonych przez amerykańskich inwestorów zmierza ku końcowi. CD Projekt poinformował, że dokument ugody trafił już do kalifornijskiego sądu.
5;2022/01/24;DM BOŚ dodał do listy top picks KGHM, Asseco SEE, Big Cheese Studio i CD Projekt;Nowy rok DM BOS rozpoczął od ciekawych roszad w portfelu. W styczniu do grona top picks dołączyły KGHM, Asseco SEE, Big Cheese Studio i CD Projekt. Z listy długich pozycji wypadło aż 6 spółek.
6;2022/01/19;Bojowe nastroje na rynkach, w grze PGE, Enea i CD Projekt;Warszawskie indeksy wystartowały na minusach, ale do gry szybko włączyli się inwestorzy liczący na odreagowanie ostatnich spadków na Wall Street. Tematem dnia na GPW są plany emisji nowych akcji przez spółki energetyczne.
7;2022/01/18;Przejęcie Activision Blizzard przez Microsoft podbiło kurs akcji CD Projektu;Microsoft Corp. kupuje Activision Blizzard Inc. za 68,7 mld dolarów. Informacja zelektryzowała inwestorów. Kurs akcji Activision Blizzard rośnie w handlu przedsesyjnym o 37 proc.
8;2022/01/11;Sąd przedłużył termin na złożenie ugody CD Projektu ws. pozwu w USA do 27 stycznia;Kancelaria reprezentująca CD Projekt otrzymała decyzję Sądu Okręgowego Stanów Zjednoczonych dla okręgu Centralnej Kalifornii o przedłużeniu terminu złożenia zawartego dokumentu ugody do dnia 27 stycznia 2022 roku. Wniosek o zatwierdzenie ugody miał zostać złożony w sądzie do 13 stycznia 2022 r.
9;2022/01/10;Banki ciągną WIG20 w górę, w grze Allegro, PKO BP i JSW;Po słabszym początku indeks WIG20 wyszedł na plus i rośnie, bijąc rekordy kolejnych wzrostowych sesji. Windują go drożejące banki PKO BP i Pekao. To jednak w jakich nastrojach inwestorzy będą kończyć, ten dopiero co rozpoczęty tydzień, będzie zależało już tylko i wyłącznie od danych inflacyjnych z USA i oczekiwań co do tempa podwyżek stóp procentowych przez Fed.
